name,price,category,brand,url,sku,variant,color,description,spec_Frame,spec_Framefit,spec_Gewicht,spec_Gewichtslimiet,spec_Shifter,spec_Voorderailleur,spec_Achterderailleur,spec_Crankstel,spec_Bottom_bracket,spec_Cassette,spec_Ketting,spec_Pedaal,spec_Maximale_maat_kettingblad,spec_Naaf_voor,spec_As_voorwiel,spec_Naaf_achter,spec_Velg,spec_Buitenband,spec_Maximale_bandenmaat,spec_Zadel,spec_Zadelpen,spec_Stuur,spec_Stuurlint,spec_Stuurpen,spec_Balhoofdstel,spec_Rem,spec_Shifter_speed,spec_Voorvork,spec_As_achterwiel,spec_Spaken,spec_Remschijf,spec_Schijfdiameter,spec_Buitenband_-_onderdelen,spec_Velglint,spec_Frame_plus_vork,spec_Remgreep,spec_Handvatten,spec_Wiel_voor,spec_Wiel_achter,spec_Tas,spec_Accu,spec_Oplader,spec_Motor,spec_Maximaal_geschikte_veerweg,spec_Stuur_stuurpen_(geïntegreerd),spec_Binnenband,spec_Computer,spec_Stuur_-_onderdelen,spec_Bidonhouder,spec_Bidon,spec_Kettingblad
Domane AL 2 Rim,949.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/33037/,33037,blue_black,Blue/Black,,100 Series Alpha Aluminium,Endurance,"56 cm - 9,57 kg",125 kg,Shimano Claris ST-R2000-R right,"Shimano Claris R2000, 31,8 mm klem","Shimano Claris R2000, medium kooi, max. tandwielgrootte 34T","Maat: 47 Shimano RS200, 50/34 (compact), 165 mm lengte","Shimano UN300, 68mm, geschroefd industrielager, 110mm trapas","Shimano HG31, 11-32, 8-speed","Shimano Sora HG71, 8 speed","Wellgo R199, nylon body, lichtmetalen kooi","1x: 42T, 2x: 50/34","Formula TK-31 lichtmetaal, 5 x 100 mm QR",Formula QR22,"Formula TK-32 lichtmetaal, Shimano 8/9/10 freewheelnaaf, 5 x 130 mm QR","Bontrager Tubeless Ready, 24-gaats, 17 mm velgbreedte, Presta-ventiel","Bontrager R1 Hard-Case Lite, stalen hieldraad, 60 tpi, 700 x 28 mm","28mm zonder spatborden, 25mm met spatborden","Maat: 47, 50, 52 Bontrager Verse Comp, stalen rails, 155 mm breedte","Maat: 47 Bontrager lichtmetaal, 27,2 mm, 12 mm offset, 250 mm lengte","Maat: 47 Bontrager Comp VR-C, lichtmetaal, 31,8 mm, 100 mm reach, 124 mm drop, 38 cm breedte",Bontrager gel-kruk stuurlint,"Maat: 47 Bontrager Elite, 31,8 mm, geschikt voor Blendr, 7 graden, 70 mm lengte","FSA geïntegreerd, afgedicht industrielager, 1-1/8""","Maat: 47, 50, 52, 54, 56, 58, 60, 62 Lichtmetaal dual-pivot",8-speed,,,,,,,,,,,,,,,,,,,,,,,,
Domane AL 2 Gen 4,999.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/41587/,41587,greydark,Grey dark,,100 Series Alpha Aluminium,Endurance*,"56 cm - 10,55 kg",125 kg,Shimano Claris ST-R2000-R right,"Shimano Claris R2000, 31,8 mm klem","Shimano Claris R2000, medium kooi, max. tandwielgrootte 34T","Maat: 44 Shimano RS200, 50/34 (compact), 165 mm lengte","Shimano UN300, 68mm, geschroefd industrielager, 110mm trapas","Shimano HG31, 11-32, 8-speed","Shimano Sora HG71, 8 speed",,"1x: 50T, 2x: 50/34","Formula RX-512 lichtmetaal, 6-bout, 100 x 12 mm steekas","Bontrager Switch afgeschuinde steekas, afneembare hendel","Formula RX-142 lichtmetaal, 6-bout, Shimano 11-speed freewheelnaaf, 142 x 12 mm steekas","Bontrager Paradigm SL, Tubeless Ready, 24-gaats, 21 mm velgbreedte, Presta-ventiel","Bontrager R1 Hard-Case Lite, stalen hieldraad, 60 tpi, 700 x 32 mm",,"Verse Short, stalen rails, 145 mm breedte","Maat: 44, 49 Bontrager Comp 6061 lichtmetaal, 27,2 mm, 8 mm offset, 250 mm lengte","Maat: 44 Bontrager Comp, lichtmetaal, 31,8 mm, 80 mm reach, 121 mm drop, 36 cm breedte bij hendels, 40 cm breedte onderin stuurbeugel",Bontrager Supertack geperforeerd stuurlint,"Maat: 44 Bontrager Elite, 31,8 mm, geschikt voor Blendr, 7 graden, 70 mm lengte",,"Tektro C550, mechanische schijfrem, twee remzuigers, flat-mount",8-speed,"Domane AL carbon, tapered carbon steerer, internal brake routing, fender mounts, flat mount disc, 12x100mm thru axle","Bontrager Switch afgeschuinde steekas, afneembare hendel","14g roestvast staal, zwart","Tektro wave, 6-bout, 160 mm",Maximale maat remschijven: 160 mm voor en achter,,,,,,,,,,,,,,,,,,,
Checkpoint ALR 3 Gen 3,1299.0,Checkpoint,Trek,https://www.trekbikes.com/nl/nl_NL/p/49944/,49944,reddark,Red dark,,300 Series Alpha Aluminium,Endurance*,"ML - 10.41 kg (met TLR sealant, zonder binnenbanden)",125 kg,Shimano CUESRight STU303010R,"1x, geen voorderailleur",Shimano CUES U6000 GS,"Maat: XS, S Shimano CUES FCU60301 , 40T ring, 165mm length","Praxis, T47 met schroefdraad, interne lagers","Shimano CUES LG300, LINKGLIDE, 11-48, 10-speed",Shimano LG500,,1x:44 2x: 46/30,"Bontrager lichtmetaal, afgedichte lagers, centerlock disc, 100 x 12 mm steekas","Bontrager Switch afgeschuinde steekas, afneembare hendel","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, Shimano 11-speed freewheelbody, 142 x 12 mm steekas","Bontrager Paradigm 23, tubeless ready, 24-gaats, 23 mm velgbreedte, Presta-ventiel","Bontrager Girona Pro, Tubeless Ready, GR-lekbescherming, aramide hieldraad, 60 tpi, 700 x 42 mm","50 mm zonder spatborden, 42 mm met spatborden (feitelijk gemeten, bekijk de handleiding voor details)","Verse Short Comp, stalen rails, 145 mm breedte","Bontrager lichtmetaal, 27,2 mm, 12 mm offset, 330 mm lengte","Maat: XS, S Bontrager Elite Gravel, lichtmetaal, 40 cm breedte","Maat: XS, S, M, ML Bontrager Supertack geperforeerd stuurlint","Maat: XS Bontrager Elite, 31,8 mm, geschikt voor Blendr, 7 graden, 70 mm lengte",,"Maat: XS, S, M, ML, L, XL Tektro C550 mechanical disc brake, dual piston, flat mount 0 offset",10-speed,"Trek Checkpoint, full carbon, tapered steerer, rack mounts, fender mounts, flat mount disc, 12x100mm thru axle","Bontrager Switch afgeschuinde steekas, afneembare hendel","14g roestvast staal, zwart","Tektro, centerlock, 160 mm",Maximale maten remschijf: 180 mm vooraan en achteraan,"Bontrager TLR-dichtmiddel, 175 ml",,,,,,,,,,,,,,,,,,
Checkpoint ALR 3 Gen 2,1299.0,Checkpoint,Trek,https://www.trekbikes.com/nl/nl_NL/p/47530/,47530,red,Red,,300 Series Alpha Aluminium,Endurance*,"56 cm - 10.61 kg (met TLR sealant, zonder binnenbanden)",125 kg,Shimano Sora R3000,"1x, geen voorderailleur","Shimano Sora R3000, medium kooi, max. tandwielgrootte 34T","Maat: 49 FSA Omega, 46x30, 165 mm lengte","SRAM DUB Wide, T47 met schroefdraad, interne lagers*","Shimano Sora HG400, 11-32, 9-speed","Shimano Sora HG53, 9-speed",,Bekijk de servicehandleiding,,"Bontrager Switch steekas, afneembare hendel",,,"Bontrager Girona Pro, Tubeless Ready, GR-lekbescherming, aramide hieldraad, 60 tpi, 700 x 42 mm",Bekijk de servicehandleiding,"Maat: 49, 52 Bontrager Verse Comp, stalen rails, 155 mm breedte","Bontrager lichtmetaal, 27,2 mm, 12 mm offset, 330 mm lengte","Maat: 49 Bontrager Elite Gravel, lichtmetaal, 38 cm breedte",Bontrager Supertack geperforeerd stuurlint,,,"Tektro C550, mechanische schijfrem, twee remzuigers, flat-mount",9-speed,"Checkpoint, full carbon, tapered carbon steerer, rack mounts, fender mounts, flat mount disc, 12x100mm thru axle","Bontrager Switch steekas, afneembare hendel",,"Tektro, centerlock, 160 mm",Maximale maat remschijven: 160 mm voor en achter,"Bontrager TLR-dichtmiddel, 175 ml",Bontrager TLR,,,,,,,,,,,,,,,,,
Checkpoint ALR 4 Gen 2,1499.0,Checkpoint,Trek,https://www.trekbikes.com/nl/nl_NL/p/41513/,41513,bluedark,Blue dark,,300 Series Alpha Aluminium,Endurance*,"56 cm - 9.91 kg (met TLR sealant, zonder binnenbanden)",125 kg,SRAM Apex,"1x, geen voorderailleur","SRAM Apex 1, lange kooi, max. tandwielgrootte 42T","Maat: 49 SRAM Apex 1, 40T, DUB Wide, 165 mm lengte","SRAM DUB Wide, T47 met schroefdraad, interne lagers","SRAM PG-1130, 11-42, 11-speed","SRAM PC-1130, 11-speed",,"1x: 44T (SRAM), 50T (Shimano), 2x: 50/34","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, 100 x 12 mm steekas","Bontrager Switch steekas, afneembare hendel","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, Shimano 11-speed freewheelbody, 142 x 12 mm steekas","Bontrager Paradigm, Tubeless Ready, 24-gaats, 21 mm velgbreedte, Presta-ventiel","Bontrager GR1 Team Issue, Tubeless Ready, Inner Strength karkas, aramide hieldraad, 120 tpi, 700 x 40 mm",Bekijk de servicehandleiding,"Maat: 49, 52 Bontrager Verse Comp, stalen rails, 155 mm breedte","Bontrager lichtmetaal, 27,2 mm, 12 mm offset, 330 mm lengte","Maat: 49 Bontrager Elite Gravel, lichtmetaal, 38 cm breedte",Bontrager Supertack geperforeerd stuurlint,"Maat: 49 Bontrager Elite, 31,8 mm, geschikt voor Blendr, 7 graden, 70 mm lengte",,"Tektro C550, mechanische schijfrem, twee remzuigers, flat-mount",11-speed,"Checkpoint carbon, taps toelopende carbon stuurbuis, drager- &amp; spatbordbevestigingen, flat-mount schijfrembevestiging, 12 x 100 mm steekas","Bontrager Switch steekas, afneembare hendel",,"Tektro, centerlock, 160 mm",Maximale maat remschijven: 160 mm voor en achter,"Bontrager TLR-dichtmiddel, 175 ml",Bontrager TLR,,,,,,,,,,,,,,,,,
Checkpoint ALR 4 Gen 3,1499.0,Checkpoint,Trek,https://www.trekbikes.com/nl/nl_NL/p/49973/,49973,pink,Pink,,300 Series Alpha Aluminium,Endurance*,"ML - 10.40 kg (met TLR sealant, zonder binnenbanden)",125 kg,Shimano CUES U6030,"1x, geen voorderailleur",Shimano CUES U8000 GS,"Maat: XS, S Shimano CUES FCU60301 , 40T ring, 165mm length","Praxis, T47 met schroefdraad, interne lagers","Shimano CUES LG700, LINKGLIDE, 11-50, 11 speed",Shimano LG500,,1x:44 2x: 46/30,"Bontrager lichtmetaal, afgedichte lagers, centerlock disc, 100 x 12 mm steekas","Bontrager Switch afgeschuinde steekas, afneembare hendel","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, Shimano 11-speed freewheelbody, 142 x 12 mm steekas","Bontrager Paradigm 23, tubeless ready, 24-gaats, 23 mm velgbreedte, Presta-ventiel","Bontrager Girona Pro, Tubeless Ready, GR-lekbescherming, aramide hieldraad, 60 tpi, 700 x 42 mm","50 mm zonder spatborden, 42 mm met spatborden (feitelijk gemeten, bekijk de handleiding voor details)","Verse Short Comp, stalen rails, 145 mm breedte","Bontrager lichtmetaal, 27,2 mm, 12 mm offset, 330 mm lengte","Maat: XS, S Bontrager Elite Gravel, lichtmetaal, 40 cm breedte","Maat: XS, S, M, ML Bontrager Supertack geperforeerd stuurlint","Maat: XS Bontrager Elite, 31,8 mm, geschikt voor Blendr, 7 graden, 70 mm lengte",,"Maat: XS, S, M, ML, L, XL Shimano CUES hydraulic disc, flat mount",11-speed,"Trek Checkpoint, full carbon, tapered steerer, rack mounts, fender mounts, flat mount disc, 12x100mm thru axle","Bontrager Switch afgeschuinde steekas, afneembare hendel","14g roestvast staal, zwart","Shimano RT54, centerlock, 160 mm",Maximale maten remschijf: 180 mm vooraan en achteraan,"Bontrager TLR-dichtmiddel, 175 ml",,,,,,,,,,,,,,,,,,
Domane AL 4 Gen 4,1599.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/41607/,41607,white,White,,100 Series Alpha Aluminium,Endurance*,"56 cm - 10,35 kg",125 kg,Shimano Tiagra R4720,"Shimano Tiagra 4700, 31,8 mm buisklem","Shimano Tiagra 4700, lange kooi, max. tandwielgrootte 34T","Maat: 44 Shimano Tiagra 4700, 50/34, 165 mm lengte",Shimano RS501 BSA,"Shimano 10-speed, 11-32T","Shimano Tiagra HG54, 10-speed",,"1x: 50T, 2x: 50/34","Formula RX-512 lichtmetaal, 6-bout, 100 x 12 mm steekas","Bontrager Switch afgeschuinde steekas, afneembare hendel","Formula RX-142 lichtmetaal, 6-bout, Shimano 11-speed freewheelnaaf, 142 x 12 mm steekas","Bontrager Paradigm SL, Tubeless Ready, 24-gaats, 21 mm velgbreedte, Presta-ventiel","Bontrager R1 Hard-Case Lite, stalen hieldraad, 60 tpi, 700 x 32 mm",,"Verse Short, stalen rails, 145 mm breedte","Maat: 44, 49 Bontrager Comp 6061 lichtmetaal, 27,2 mm, 8 mm offset, 250 mm lengte","Maat: 44 Bontrager Comp, lichtmetaal, 31,8 mm, 80 mm reach, 121 mm drop, 36 cm breedte bij hendels, 40 cm breedte onderin stuurbeugel",Bontrager Supertack geperforeerd stuurlint,"Maat: 44 Bontrager Elite, 31,8 mm, geschikt voor Blendr, 7 graden, 70 mm lengte",,"Shimano Tiagra hydraulische schijfrem, flat-mount",10-speed,"Domane AL carbon, tapered carbon steerer, internal brake routing, fender mounts, flat mount disc, 12x100mm thru axle","Bontrager Switch afgeschuinde steekas, afneembare hendel","14g roestvast staal, zwart","Shimano RT66, 6-bout, 160 mm",Maximale maat remschijven: 160 mm voor en achter,,,,,,,,,,,,,,,,,,,
Checkpoint ALR 5 Gen 2,1799.0,Checkpoint,Trek,https://www.trekbikes.com/nl/nl_NL/p/41640/,41640,tealdark,Teal dark,,300 Series Alpha Aluminium,Endurance*,"56 cm - 9.71 kg (met TLR sealant, zonder binnenbanden)",125 kg,SRAM Apex,"1x, geen voorderailleur","SRAM Apex XPLR, max. tandwielgrootte 44T","Maat: 49 SRAM Apex 1, 40T, DUB Wide, 165 mm lengte","SRAM DUB Wide, T47 met schroefdraad, interne lagers","SRAM XPLR PG-1231, 11-44, 12-speed","SRAM Apex, 12-speed",,"1x: 44T (SRAM), 50T (Shimano), 2x: 50/34","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, 100 x 12 mm steekas","Bontrager Switch steekas, afneembare hendel","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, Shimano 11-speed freewheelbody, 142 x 12 mm steekas","Bontrager Paradigm, Tubeless Ready, 24-gaats, 21 mm velgbreedte, Presta-ventiel","Bontrager GR1 Team Issue, Tubeless Ready, Inner Strength karkas, aramide hieldraad, 120 tpi, 700 x 40 mm",Bekijk de servicehandleiding,"Maat: 49, 52 Bontrager Verse Comp, stalen rails, 155 mm breedte","Bontrager lichtmetaal, 27,2 mm, 12 mm offset, 330 mm lengte","Maat: 49 Bontrager Elite Gravel, lichtmetaal, 38 cm breedte",Bontrager Supertack geperforeerd stuurlint,"Maat: 49 Bontrager Elite, 31,8 mm, geschikt voor Blendr, 7 graden, 70 mm lengte",,"SRAM Apex hydraulische schijfrem, flat-mount",12-speed,"Maat: 49, 52, 54, 56, 58, 61 Checkpoint carbon, taps toelopende carbon stuurbuis, drager- &amp; spatbordbevestigingen, flat-mount schijfrembevestiging, 12 x 100 mm steekas","Bontrager Switch steekas, afneembare hendel","14g roestvast staal, zwart","SRAM Paceline, afgerond, centerlock, 160 mm",Maximale maat remschijven: 160 mm voor en achter,"Bontrager TLR-dichtmiddel, 175 ml",Bontrager TLR,"300 Series Alpha Aluminium, taps toelopende balhoofdbuis, interne kabelgeleiding, 3S chain keeper, T47 bottom bracket, bevestigingspunten voor drager en spatborden, geïntegreerde bevestigingspunten voor frametassen, flat-mount schijfrembevestiging, 142 x 12 mm steekas","SRAM Apex, 12-speed",,,,,,,,,,,,,,,
FX Sport 4,1799.0,Active &amp; fitness bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/40822/,40822,greydark,Grey dark,,400 Series Oclv Carbon,Comfort*,M - 10.46 kg,136 kg,Shimano CUES U6000 met optische versnellingsindicator,"1x, geen voorderailleur",Shimano CUES U6000 GS,"Prowheel lichtmetaal, 42T narrow-wide kettingblad, 175 mm lengte","Shimano RS500, 86 mm, PressFit*","Shimano CUES LG300, LINKGLIDE, 11-48, 10-speed","Shimano LG500, 9/10/11-speed",Bontrager City pedalen,,"Formula CL-51 lichtmetaal, 5 x 100 mm QR",135 x 5 mm schroefas,"Formula CL-52 lichtmetaal, 5 x 135 mm QR","Bontrager Paradigm, Tubeless Ready, 32-gaats, 21 mm velgbreedte, Presta-ventiel","Bontrager GR1 Expert, Hard-Case Lite, stalen hieldraad, 60 tpi, 700 x 40 mm",,Bontrager H1,"Bontrager lichtmetaal, 27,2 mm, 12 mm offset, 330 mm lengte","Maat: XS, S Bontrager Satellite Plus IsoZone, lichtmetaal, 31,8 mm, 15 mm rise, 600 mm breedte",,"Maat: XS Bontrager Elite, 31,8 mm, geschikt voor Blendr, 7 graden, 90 mm lengte",,"Shimano hydraulische schijfrem, MT201 hendel, UR300 remklauw",10-speed,"Carbon, verborgen spatbordbevestigingen, flat-mount schijfrembevestiging, 100 x 5 mm ThruSkew",169 x 5 mm schroefas,,"Shimano RT10, centerlock, 160 mm",,,,,,"Bontrager Satellite IsoZone Plus, lock-on, ergonomisch",,,,,,,,,,,,,,
Émonda ALR 5,1999.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/41426/,41426,red_reddark,Red/Red dark,,Ultralicht 300 Series Alpha Aluminium,H1.5 Race*,56 cm - 9.17 kg (met binnenbanden),125 kg,Shimano 105 R7120,"Shimano 105 R7100, aanlasnok, down swing","Shimano 105 R7100, max. tandwielgrootte 36T","Maat: 47 Shimano 105 R7100, 50/34, 165 mm lengte","Praxis, T47 met schroefdraad, interne lagers","Shimano 105 7101, 11-34, 12-speed","Shimano SLX M7100, 12-speed",,"1x: 48T, 2x: 53/39 (Shimano), 48/35 (SRAM)","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, 100 x 12 mm steekas","Bontrager Switch steekas, afneembare hendel","Bontrager lichtmetaal, afgedichte lagers, centerlock disc, Shimano 11-speed freewheelbody, 142 x 12 mm steekas","Bontrager Paradigm SL, Tubeless Ready, 24-gaats, 21 mm velgbreedte, Presta-ventiel","Bontrager R1 Hard-Case Lite, stalen hieldraad, 60 tpi, 700 x 28 mm",28 mm,"Maat: 47, 50, 52 Verse Short Comp, stalen rails, 155 mm breedte","Maat: 47 Bontrager Comp 6061 lichtmetaal, 27,2 mm, 8 mm offset, 250 mm lengte","Maat: 47, 50 Bontrager Comp, lichtmetaal, 31,8 mm, 80 mm reach, 121 mm drop, 38 cm breedte bij hendels, 42cm breedte onderin stuurbeugel",Bontrager Supertack geperforeerd stuurlint,"Maat: 47 Bontrager Elite, 31,8 mm, geschikt voor Blendr, 7 graden, 70 mm lengte",,"Shimano 105 hydraulische schijfrem, flat-mount",12-speed,"Maat: 47, 50, 52, 54, 56, 58, 60, 62 Émonda ALR full carbon, taps toelopende carbon stuurbuis, interne remkabelgeleiding, flat-mount schijfrembevestiging, 12 x 100 mm steekas","Bontrager Switch steekas, afneembare hendel","14g roestvast staal, zwart","Shimano RT70, centerlock, 160 mm",Maximale maat remschijven: 160 mm voor en achter,,,,,,"Bontrager Paradigm SL, Tubeless Ready, 21 mm velgbreedte, 100 x 12 mm steekas","Bontrager Paradigm SL, Tubeless Ready, 21 mm velgbreedte, 142 x 12 mm steekas",,,,,,,,,,,,
