post_title,post_content,post_status,post_type,sku,regular_price,product_cat,brand,product_url,variant,color,meta:Framefit,meta:Bottom_bracket,meta:Voorderailleur,images,meta:image_1_local_path,meta:additional_image_2,meta:image_2_local_path,meta:additional_image_3,meta:image_3_local_path,meta:additional_image_4,meta:image_4_local_path,meta:additional_image_5,meta:image_5_local_path,meta:import_date,meta:import_source
FX Sport AL Equipped,,publish,product,56824,999.0,Active &amp; fitness bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/56824/,tan_white,Tan/White,Comfort*,"Shimano RS500, 86 mm, PressFit*","1x, geen voorderailleur",,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
FX Sport AL Equipped Midstep,,publish,product,56825,999.0,Active &amp; fitness bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/56825/,green_greenlight,Green/Green light,Comfort*,"Shimano RS500, 86 mm, PressFit*","1x, geen voorderailleur",,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Domane AL 2 Gen 4,,publish,product,41587,999.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/41587/,greydark,Grey dark,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Checkpoint ALR 3 Gen 3,,publish,product,49944,1299.0,Checkpoint,Trek,https://www.trekbikes.com/nl/nl_NL/p/49944/,reddark,Red dark,Endurance*,"SRAM DUB Wide, T47 met schroefdraad, interne lagers*","1x, geen voorderailleur",,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Checkpoint ALR 4 Gen 3,,publish,product,49973,1499.0,Checkpoint,Trek,https://www.trekbikes.com/nl/nl_NL/p/49973/,pink,Pink,Endurance*,"SRAM DUB Wide, T47 met schroefdraad, interne lagers*","1x, geen voorderailleur",,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Domane AL 4 Gen 4,,publish,product,41607,1599.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/41607/,white,White,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
FX Sport 4,,publish,product,40822,1799.0,Active &amp; fitness bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/40822/,greydark,Grey dark,Comfort*,"Shimano RS500, 86 mm, PressFit*","1x, geen voorderailleur","https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FXSport6Carbon-25-47256-A-Primary",images/Trek/FX_Sport_4/FXSport6Carbon-25-47256-A-Primary_01.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FXSport5Carbon-25-47263-A-Primary",images/Trek/FX_Sport_4/FXSport5Carbon-25-47263-A-Primary_02.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FXSportEquippedStepover-26-56824-A-Primary",images/Trek/FX_Sport_4/FXSportEquippedStepover-26-56824-A-Primary_03.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FXSportEquippedMidstep-26-56825-A-Primary",images/Trek/FX_Sport_4/FXSportEquippedMidstep-26-56825-A-Primary_04.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FX2Midstep-26-57142-A-Primary",images/Trek/FX_Sport_4/FX2Midstep-26-57142-A-Primary_05.jpg,2025-08-03 08:10:46,trek_scraper
Émonda ALR 5,,publish,product,41426,1999.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/41426/,red_reddark,Red/Red dark,H1.5 Race*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
FX Sport SL 5,,publish,product,47263,1999.0,Active &amp; fitness bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/47263/,greendark_black,Green dark/Black,Comfort*,"Shimano RS500, 86 mm, PressFit*","1x, geen voorderailleur",,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Checkpoint ALR 5 Gen 3,,publish,product,49946,1999.0,Checkpoint,Trek,https://www.trekbikes.com/nl/nl_NL/p/49946/,bluelight_teal,Blue light/Teal,Endurance*,"SRAM DUB Wide, T47 met schroefdraad, interne lagers*","1x, geen voorderailleur",,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
Domane AL 5 Gen 4,,publish,product,41395,1999.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/41395/,black,Black,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,2025-08-03 08:10:46,trek_scraper
